condition,sensor_count,observed_time_steps,num_test_cases,low_rates_label,low_rates_count,wall_seconds,sensor_seconds_mean,reconstruction_seconds_mean,evaluation_seconds_mean,sensor_csv,output_dir,global_rmse_mean,global_rmse_std,global_mae_mean,global_mae_std,global_rel_l1_mean_mean,global_rel_l1_mean_std,global_rel_l1_active_mean_mean,global_rel_l1_active_mean_std,global_rel_l2_mean,global_rel_l2_std,mass_mean_rel_error_mean,mass_mean_rel_error_std,low_global_rmse_mean,low_global_rmse_std,low_global_mae_mean,low_global_mae_std,low_global_rel_l1_mean_mean,low_global_rel_l1_mean_std,low_global_rel_l1_active_mean_mean,low_global_rel_l1_active_mean_std,low_global_rel_l2_mean,low_global_rel_l2_std,low_mass_mean_rel_error_mean,low_mass_mean_rel_error_std
s06_t020,6,20,7,"50,100",2,499.5504972934723,41.906199421201435,27.125828198024205,2.2935781478881836,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/sensor_subsets/sensor_subset_6.csv,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/s06_t020,0.005554411279901938,0.00011961841035733835,0.0033450601203037925,0.00023614059342428177,92.69622869487723,96.00842887199468,31.73314312725851,26.885593067521683,17.584495584013734,19.287791524925733,25.11542185151477,27.365880009247345,0.005452559547114999,2.140981195789069e-05,0.00315250418639117,2.7320316442367917e-06,227.01572826616513,76.34579798239987,70.02254863667544,18.314535112536102,44.64907651551401,15.292799085000986,62.01968047809052,24.670404692279092
s06_t060,6,60,7,"50,100",2,643.4713790416718,41.605943134852815,48.34518837928772,1.9382215567997523,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/sensor_subsets/sensor_subset_6.csv,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/s06_t060,0.006137982371432982,0.00017308884777968606,0.003734864271521541,0.0002562931128740131,82.49692829419537,85.53900291991683,31.59889849643369,28.407798886474016,19.32078350859337,21.137263978024475,22.77546653870308,24.02180709969183,0.005969252363707491,6.708507933844525e-06,0.003517793568785568,6.711238609735442e-06,201.9906238547461,68.17669671128749,71.67027086191672,20.94574111059851,48.927552430340455,16.879151397363923,56.371359102365176,19.170320592849226
s06_t120,6,120,7,"50,100",2,943.4851002693176,41.50189232826233,90.70395728519985,2.542917387826102,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/sensor_subsets/sensor_subset_6.csv,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/s06_t120,0.006407067852299957,0.0003575574100709812,0.004298773375570909,0.0003644631698578157,81.68333709927394,84.57983269202754,32.210053886204044,29.200828413150962,19.755245217546996,21.379528580089463,19.973116775438946,19.77530003951454,0.006061428314030729,6.504192893714948e-06,0.003933107814835026,5.523774571939474e-06,199.75748139329153,67.60938596472356,73.37866115937636,21.652520437067395,49.68395499194378,17.142320500026912,47.80802138886679,15.163374237139966
s12_t020,12,20,7,"50,100",2,493.0359046459198,41.5400505065918,26.772154808044434,2.083017110824585,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/sensor_subsets/sensor_subset_12.csv,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/s12_t020,0.006884648052760082,8.902793240040545e-05,0.003944837247215285,0.0002300788765031046,129.14121605387393,135.03019362207945,43.85753547231966,32.89364990812418,21.94200205690046,24.174851742722442,27.918087087952426,29.634276903302002,0.006805670991623679,1.0193173913394457e-06,0.003756420988226538,6.929958685991406e-06,317.7230521240132,107.85918596562433,91.10522073309765,18.22849782031659,55.80214469242743,19.29863581475406,69.6716333611713,22.7256680284344
s12_t060,12,60,7,"50,100",2,653.967700958252,41.75933412143162,48.77202544893537,2.857395989554269,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/sensor_subsets/sensor_subset_12.csv,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/s12_t060,0.009657674263180375,0.0001018463965916276,0.005874587835644545,0.00023038775954780535,127.28348527506614,133.8253010883755,56.52203897749784,49.3378397405625,30.877602499577595,34.072451036847625,23.94676822631293,25.288476582652468,0.009587034011808769,2.8947759091960817e-06,0.0056955906644156114,7.20230383537742e-06,314.4149795471146,106.33284560342966,126.81262972223246,32.9950589775267,78.60340195052424,27.17370047357021,59.58474965742785,19.448348903742783
s12_t120,12,120,7,"50,100",2,1081.7050030231476,46.56623234067644,105.52781081199646,2.39960207257952,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/sensor_subsets/sensor_subset_12.csv,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/s12_t120,0.01225664831720487,9.748000424726322e-05,0.009469706900287487,8.609304891232011e-05,139.46062794861666,147.30790008820088,66.22514954843159,60.00586612972526,39.22689395080978,43.33517250035763,25.672156077741594,27.57180960657337,0.0121806235721739,1.0019265956412275e-05,0.009399200897861462,7.938487857453956e-06,345.3128569585674,117.52049899867939,151.47796292992024,41.598899214321236,99.90691358205693,34.63734170947539,64.41678800137771,21.446174641216526
s30_t020,30,20,7,"50,100",2,532.4889800548553,43.83662240845816,29.809956448418752,2.372213431767055,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/sensor_subsets/sensor_subset_30.csv,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/s30_t020,0.005323975546167023,0.00010122204531342806,0.003205848984088328,0.0002266257313974192,82.43686807874441,85.83415045976975,29.726002203062055,25.012835940889083,16.901272568864286,18.591307291430514,19.96803128141564,20.819598951997776,0.005236576920490519,1.335477488200766e-07,0.003022189700792862,7.865839934338356e-06,202.28950309415671,68.65678900597966,65.41479680181985,16.689865884621483,42.93918180615255,14.856729326840137,49.41004266434627,15.6592919766153
s30_t060,30,60,7,"50,100",2,656.2135872840881,41.48569767815726,49.660134247371126,2.560281310762678,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/sensor_subsets/sensor_subset_30.csv,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/s30_t060,0.0066916411291960114,4.005257697058242e-05,0.004142225168652448,0.00018710809005666605,82.49879561515702,86.77134128294084,36.60700638624381,33.91200390602728,21.52354833489533,23.85171420887194,13.784513289513134,14.952438869803018,0.006699630932293545,2.1344353268257926e-06,0.004011135028358084,7.924178720585939e-06,203.82119031257076,69.05482695989627,84.69677857273791,24.359420962059616,54.94158591838176,19.02367108223733,34.80356463740012,11.656824539193488
s30_t120,30,120,7,"50,100",2,951.4221291542053,41.37708166667393,92.14805776732308,2.356199026107788,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/sensor_subsets/sensor_subset_30.csv,/hy-tmp/SDIFT_model56/results/advisor_study/sensor_conditions_cfd56_holdout400/s30_t120,0.007567142326337999,9.115875397720994e-05,0.005318260173311748,8.163179951137578e-05,84.10819874830084,89.4465920750766,39.831749247277585,37.99870151372657,24.646189078645687,27.575596896576954,13.496584031822655,14.433177229647983,0.007694076950433162,4.4062224123194056e-05,0.00543484492853635,3.884334275529051e-05,208.86052294943175,72.14995405125448,93.50252438106708,28.041756075375936,63.21477395052832,22.188611777946967,34.147141331820606,10.00755315301549
