train_size,repeat,rmse,mae,active_rel_l1,mass_rel_error,low_rmse,low_mae
6,0,0.0016077952134467863,0.0011173840068440944,6.268055992859388,3.290769740596503,0.0013574637593338087,0.0009198342490048367
6,1,0.00205490382504538,0.0009037547627170924,4.267697952129049,2.5840759690518174,0.0020042196817496435,0.0008129920300900676
6,2,0.002090758824391815,0.0010249816391376552,6.185879521685165,2.2006037871399866,0.0020547157823324054,0.0009662639306191286
12,0,0.0007600895814637449,0.0005275056595482158,1.927756990993574,0.952463730939685,0.0004906133478379418,0.00028305490099937334
12,2,0.0007771320299171397,0.0004367983896974535,1.8850423221458252,0.7845052614659843,0.00054114924395158,0.00027801179753531046
24,0,0.0008430793230817729,0.00040558216583088454,1.314086657262474,1.1605925158547745,0.0006269273732179913,0.0003347353651782229
24,1,0.006331117433057913,0.0027416194100751087,16.211017399047517,8.514258516087029,0.006257027466037611,0.002470412911991885
24,2,0.0007996312291152325,0.00048817439635657323,1.5275202842555866,0.8001592578270548,0.0004649275652839304,0.00025560282324102533
31,0,0.000743743704742313,0.0004500897943317918,1.4847994774472966,1.1143810235968354,0.0003952467410242547,0.00020930025504698515
31,1,0.0019477380809408095,0.0007062940494698061,1.8329462750183225,1.0818300610472822,0.0010802621422252448,0.0002401362825772761
