repeat,case_id,rate,pred_to_truth_mean,pred_abs_to_truth_mean,pred_min,pred_max,truth_mean,pred_mean
0,case_0025,100.0,2.922687922038819,2.922687922038819,2.3468567926784637e-05,0.0009400499933320955,0.00010657552905288871,0.0003114870115477751
0,case_0027,1000.0,0.840381088143923,0.840381088143923,4.404012082168698e-05,0.0021422993314116623,0.001063687326555845,0.0008939027129359014
0,case_0029,200.0,1.8161127112093953,1.8161127112093953,2.4449613071898236e-05,0.0011406447922950353,0.00021304580583299596,0.0003869151960431527
0,case_0031,400.0,1.2803735766268587,1.2803735766268587,2.841576254512661e-05,0.0015139357686187868,0.0004258662630223903,0.0005452679103506924
0,case_0033,50.0,4.537581825398817,4.537581825398817,2.3307630827429602e-05,0.0007101534522910121,5.2573611284986117e-05,0.00023855706306233517
0,case_0035,600.0,1.0619200418898382,1.0619200418898382,3.1454428617718596e-05,0.001762668560499054,0.0006385575971278421,0.0006780971102910725
0,case_0037,800.0,0.9268580380305844,0.9268580380305844,3.796934696830824e-05,0.0019532230627126355,0.000851236402215299,0.0007889753016574855
1,case_0025,100.0,-1.9712151681784489,4.061667797447999,-0.0008197387025039339,0.000894028264298751,0.00010657552905288871,-0.0002100832994256972
1,case_0027,1000.0,-0.20531677616074195,0.41562490471503,-0.0008144500088365988,0.000900000953635366,0.001063687326555845,-0.00021839285273148447
1,case_0029,200.0,-0.9940007880107068,2.0397454419456205,-0.0008196241650606995,0.0008943589947361028,0.00021304580583299596,-0.000211767698880374
1,case_0031,400.0,-0.5034354891203577,1.0266711066708052,-0.0008191364092259258,0.0008950835824157259,0.0004258662630223903,-0.00021439619042453595
1,case_0033,50.0,-3.9769148913365875,8.214847734330906,-0.000819678105750046,0.0008939320581307827,5.2573611284986117e-05,-0.00020908077761060256
1,case_0035,600.0,-0.3379962356854923,0.6871767889139697,-0.0008171405526261748,0.000896050246301202,0.0006385575971278421,-0.00021583006409758374
1,case_0037,800.0,-0.2547301046106005,0.5171150748398168,-0.0008153331159420047,0.000898113610233033,0.000851236402215299,-0.00021683553778465437
2,case_0025,100.0,1.2671884281656296,1.3178621340867545,-4.636687775405414e-05,0.0004903286812108219,0.00010657552905288871,0.00013505127714145043
2,case_0027,1000.0,0.6023403567165557,0.603797442415577,-3.664192689880973e-05,0.0016748601870913715,0.001063687326555845,0.0006407018037125272
2,case_0029,200.0,0.9911168662317619,1.0072207309465064,-3.141699534892019e-05,0.0007525758003458073,0.00021304580583299596,0.00021115329144101938
2,case_0031,400.0,0.8368163990985349,0.8424134805355602,-3.777558352032842e-05,0.0010364639119710224,0.0004258662630223903,0.0003563718727199462
2,case_0033,50.0,2.0932103446985524,2.1992538654976053,-4.5555613303093674e-05,0.00040137871466917386,5.2573611284986117e-05,0.00011004762699989349
2,case_0035,600.0,0.7359741913666956,0.739041693459648,-3.932576380591404e-05,0.0012767386460167,0.0006385575971278421,0.0004699619111872238
2,case_0037,800.0,0.6607719442187153,0.6628752282063575,-3.827871026497842e-05,0.0014779641394358461,0.000851236402215299,0.0005624731324815475
